"artifact_type","model_ids","file_name","path","exists","bytes","mtime_utc","sha256","hash_status","elapsed_seconds"
"model","qwen36-35b-a3b-iq4xs","Qwen_Qwen3.6-35B-A3B-IQ4_XS.gguf","<MODEL_ROOT>/models/Qwen_Qwen3.6-35B-A3B-IQ4_XS.gguf","True","18806446400","2026-05-14T14:29:22+00:00","9a8ad7a6f171390ddd70928b865e4c08ff827b8dd0f4410dc1e0591a225d6a9e","cached","0.000"
"mmproj","qwen36-35b-a3b-iq4xs","mmproj-BF16.gguf","<MODEL_ROOT>/models/mmproj-BF16.gguf","True","902822624","2026-05-14T16:34:20+00:00","356dfaa3111376a4f7165e32e8749713378d1700b37cf52e0c50d9f23322334d","cached","0.000"
"model","deepseek-coder-v2-lite-q4km","DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M.gguf","<MODEL_ROOT>/models/deepseek-coder-v2-lite/DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M.gguf","True","10364416768","2026-06-19T17:01:51+00:00","603bd3f8a0281d16571da7c08bd661ee17ff0d1be6fcbd1b42242da257ef0bb8","cached","0.000"
"model","qwen3-coder-30b-a3b-iq4xs","Qwen3-Coder-30B-A3B-Instruct-IQ4_XS.gguf","<MODEL_ROOT>/models/qwen3-coder-30b-a3b/Qwen3-Coder-30B-A3B-Instruct-IQ4_XS.gguf","True","16378076320","2026-06-20T08:31:01+00:00","26cd4fef3ada9de84c6c59c4b93f9bc5df4d69a71e18cfe8a17369c2f8374ce7","cached","0.000"
"model","gpt-oss-20b-mxfp4","gpt-oss-20b-mxfp4.gguf","<MODEL_ROOT>/models/gpt-oss-20b/gpt-oss-20b-mxfp4.gguf","True","12109566560","2026-06-20T08:37:35+00:00","be37a636aca0fc1aae0d32325f82f6b4d21495f06823b5fbc1898ae0303e9935","cached","0.000"
"model","glm-4.7-flash-iq4xs","GLM-4.7-Flash-IQ4_XS.gguf","<MODEL_ROOT>/models/glm-4.7-flash/GLM-4.7-Flash-IQ4_XS.gguf","True","16271360352","2026-06-20T08:46:26+00:00","44ad6ab1885f3fd2282b1b684df729868ef2da65fd8adeab4eb848b25ac3925b","cached","0.000"
"model","devstral-small2-24b-q4km","Devstral-Small-2-24B-Instruct-2512-Q4_K_M.gguf","<MODEL_ROOT>/models/devstral-small2-24b/Devstral-Small-2-24B-Instruct-2512-Q4_K_M.gguf","True","14334446752","2026-06-20T13:08:41+00:00","d14ba9edee1bb4c4996a726deb81e49ae81800a3216f0774634238c380aee496","cached","0.000"
"mmproj","devstral-small2-24b-q4km","mmproj-F16.gguf","<MODEL_ROOT>/models/devstral-small2-24b/mmproj-F16.gguf","True","878054048","2026-06-21T17:11:50+00:00","236bb4f0500620164917f26749cd402485b7d749034ea817c6a2d65253b126b9","cached","0.000"
"model","codellama-34b-instruct-q4ks","codellama-34b-instruct.Q4_K_S.gguf","<MODEL_ROOT>/models/codellama-34b/codellama-34b-instruct.Q4_K_S.gguf","True","19146420384","2026-06-19T18:39:58+00:00","4d56b7543453265509871a15da15c495d80f1aaab47a83d89eea3532dbb2e71d","cached","0.000"
"model","nemotron3-nano-30b-a3b-iq4xs","Nemotron-3-Nano-30B-A3B-IQ4_XS.gguf","<MODEL_ROOT>/models/nemotron3-nano-30b-a3b/Nemotron-3-Nano-30B-A3B-IQ4_XS.gguf","True","18168955680","2026-06-19T17:14:02+00:00","0f2cbdc4f578b5a53f521bcb1a5f5297cd54ea72ebf6c8ce80b570cc5645bac1","cached","0.000"
